Tempo,Erro Little
10.00, 0.00000000015905673306
20.00, 0.00000000153419173199
30.00, 0.00000001351509806846
40.00, 0.00000000328936713978
50.00, 0.00000000572130842702
60.00, 0.00000007391455231209
70.00, 0.00000016733585342377
80.00, 0.00000029286852734622
90.00, 0.00000017241814692648
100.00, 0.00000016034100519535
110.00, 0.00000032832708463104
120.00, 0.00000041979512049872
130.00, 0.00000051407890416799
140.00, 0.00000048950499659250
150.00, 0.00000073607208478377
160.00, 0.00000190719575937637
170.00, 0.00000182179665630944
180.00, 0.00000244648861191799
190.00, 0.00000339521602626958
200.00, 0.00000564052137858040
210.00, 0.00000527938950356521
220.00, 0.00000335646765781128
230.00, 0.00000011856313436587
240.00, 0.00000270313080319440
250.00, 0.00000534546888475429
260.00, 0.00000682129692425315
270.00, 0.00000603129379683764
280.00, 0.00000558249018545176
290.00, 0.00000947445382526446
300.00, 0.00000525091718628357
310.00, 0.00000986755286691565
320.00, 0.00001098076333438947
330.00, 0.00001156097416199486
340.00, 0.00000939947641365180
350.00, 0.00001719020880752709
360.00, 0.00001455125802096724
370.00, 0.00001622311856308567
380.00, 0.00001921866364384961
390.00, 0.00001714982302558621
400.00, 0.00002477273124290580
410.00, 0.00002893157946959324
420.00, 0.00002860372773583197
430.00, 0.00002767243893064819
440.00, 0.00004221321291331126
450.00, 0.00003319634833354179
460.00, 0.00003310520801935724
470.00, 0.00003473107673646059
480.00, 0.00003210499457251270
490.00, 0.00003197261484177982
500.00, 0.00003153058773941453
510.00, 0.00003282205703203367
520.00, 0.00003759594351471218
530.00, 0.00005088653016027678
540.00, 0.00003931717397986922
550.00, 0.00005270594253548033
560.00, 0.00004237331149781198
570.00, 0.00003715992263098045
580.00, 0.00002440043284579474
590.00, 0.00002842638355526894
600.00, 0.00001187613671260745
610.00, 0.00002425982692677575
620.00, 0.00001982707315661969
630.00, 0.00001536167617777195
640.00, 0.00000481911165184368
650.00, 0.00000094527322935800
660.00, 0.00000220394254091261
670.00, 0.00000197166924142955
680.00, 0.00000540914072555410
690.00, 0.00001288732817317229
700.00, 0.00002859937952648384
710.00, 0.00004374114545047103
720.00, 0.00002236554413292957
730.00, 0.00002152472381622417
740.00, 0.00003072169334550345
750.00, 0.00003392940757318552
760.00, 0.00002408456320102115
770.00, 0.00004214007637659556
780.00, 0.00005922958086301833
790.00, 0.00002860806194282528
800.00, 0.00002341639020486674
810.00, 0.00001534378635381639
820.00, 0.00000264258414484075
830.00, 0.00001122183478419192
840.00, 0.00002198741839576357
850.00, 0.00002488877802409029
860.00, 0.00002476218998903601
870.00, 0.00002665482068109348
880.00, 0.00003133214778738846
890.00, 0.00002858376895731318
900.00, 0.00002980751527448255
910.00, 0.00002645106260901198
920.00, 0.00000957666897682952
930.00, 0.00000339071489474652
940.00, 0.00001792408328238349
950.00, 0.00002470006839372374
960.00, 0.00000055294299972086
970.00, 0.00002836333147515635
980.00, 0.00004653113729857772
990.00, 0.00009057303624027124
1000.00, 0.00004083110578767535
1010.00, 0.00004107256051955055
1020.00, 0.00005467940099257440
1030.00, 0.00003056169713155921
1040.00, 0.00004963401693280911
1050.00, 0.00002331733008287262
1060.00, 0.00001777773440936325
1070.00, 0.00003715062533848901
1080.00, 0.00004359444118451350
1090.00, 0.00002565171203094962
1100.00, 0.00003914938146742930
1110.00, 0.00000722024333643656
1120.00, 0.00000514557901809543
1130.00, 0.00002773428023505886
1140.00, 0.00001840375911144054
1150.00, 0.00003170582150890944
1160.00, 0.00001883656763013164
1170.00, 0.00002880143331485119
1180.00, 0.00003533274962652655
1190.00, 0.00006006294794436151
1200.00, 0.00005305713376757559
1210.00, 0.00004008521424736511
1220.00, 0.00003266973431581555
1230.00, 0.00003514221395928274
1240.00, 0.00005474212187972505
1250.00, 0.00007225682022027335
1260.00, 0.00005112993634903695
1270.00, 0.00005961686920907816
1280.00, 0.00006909655346232224
1290.00, 0.00008835002092988375
1300.00, 0.00010791199738813262
1310.00, 0.00003824166561250397
1320.00, 0.00007019217930925858
1330.00, 0.00007063819222019596
1340.00, 0.00003560127315971329
1350.00, 0.00003162475728180070
1360.00, 0.00000215789232138608
1370.00, 0.00000715846502297168
1380.00, 0.00002832488005710676
1390.00, 0.00004987227109864989
1400.00, 0.00001822921549632373
1410.00, 0.00001272658738316057
1420.00, 0.00005775959574827461
1430.00, 0.00006841077346908531
1440.00, 0.00003920974240079200
1450.00, 0.00007418225974598069
1460.00, 0.00009987912015185785
1470.00, 0.00008620651774660093
1480.00, 0.00008148202830937645
1490.00, 0.00013804453404264727
1500.00, 0.00011497011610950292
1510.00, 0.00012281525221291556
1520.00, 0.00010691779027516279
1530.00, 0.00009134173803193590
1540.00, 0.00010637602285745729
1550.00, 0.00008932287113794235
1560.00, 0.00010520488421283947
1570.00, 0.00011074177790171280
1580.00, 0.00010452635590874060
1590.00, 0.00008123817943272993
1600.00, 0.00005226414273384883
1610.00, 0.00004533585169275156
1620.00, 0.00005731326146485305
1630.00, 0.00001290833051381668
1640.00, 0.00005698200745629656
1650.00, 0.00003664191376973047
1660.00, 0.00000864628113761423
1670.00, 0.00002209822193932620
1680.00, 0.00000225632929939934
1690.00, 0.00000267523369723577
1700.00, 0.00001133871003633491
1710.00, 0.00000650349675779260
1720.00, 0.00005221003790190082
1730.00, 0.00003701072128181604
1740.00, 0.00004849490546443569
1750.00, 0.00006336960025121741
1760.00, 0.00005663356503637917
1770.00, 0.00012291520640617115
1780.00, 0.00014944483679302234
1790.00, 0.00016605642918443575
1800.00, 0.00016471299796005923
1810.00, 0.00017725842955274018
1820.00, 0.00014432818520115909
1830.00, 0.00016920877567483394
1840.00, 0.00011532036595640616
1850.00, 0.00017291921634088325
1860.00, 0.00023490842096041131
1870.00, 0.00016534195514661398
1880.00, 0.00016513841294751863
1890.00, 0.00013357543554037843
1900.00, 0.00008674332105551574
1910.00, 0.00010139788824248264
1920.00, 0.00007924365115519194
1930.00, 0.00007153896514822122
1940.00, 0.00010029803768440981
1950.00, 0.00008643408909159156
1960.00, 0.00008376391592423982
1970.00, 0.00008568434371269973
1980.00, 0.00007339290115893071
1990.00, 0.00010671404643447513
2000.00, 0.00012871577999828965
